Year,Fossil_Usage,Renewable_Usage,LCOE_Advantage,Green_Subsidy_Index,Permitting_Ease,Trade_Barrier
2000,84.620442,4.095599,-350,2,6,1
2001,82.799758,3.511945,-340,2,6,1
2002,83.59225,3.766156,-330,2,6,1
2003,83.909087,3.915879,-300,2,6,1
2004,85.666271,4.105527,-290,2,6,1
2005,85.622667,4.232904,-280,2,6,1
2006,84.477197,4.480272,-280,3,6,1
2007,85.805032,4.594859,-280,3,6,1
2008,83.040546,5.067705,-270,3,6,1
2009,77.862484,5.292537,-276,6,4,1
2010,80.723061,5.895677,-166,6,4,1
2011,79.262601,6.308059,-86,6,4,1
2012,77.303882,6.150362,-53,6,4,3
2013,79.22427,6.587023,-34,6,4,3
2014,80.016732,6.796126,-5,6,4,3
2015,79.090311,6.823074,1,6,4,3
2016,78.31902,7.110105,8,6,4,3
2017,77.900709,7.374186,10,3,8,3
2018,81.280532,7.526065,15,3,8,7
2019,80.424546,7.585664,15,3,8,7
2020,73.168689,7.289745,22,3,8,7
2021,77.45362,7.645284,24,8,3,8
2022,78.529365,8.213669,17,8,3,8
2023,77.270417,8.292613,10,8,3,8
2024,77.630184,8.699237,15,8,3,8
